name,Size,Room,Fee,Endprice,KvMPrice,Saledate,City,District,TypeOfProperty
"Tujagatan 9, 2-1303",49.0,2,3 733 ,1250000,25510,10 sep. 2024,Skiljebo Äng,Västerås kommun,Other
Kaserngatan 47,103.0,4,5 135 ,2600000,25243,10 sep. 2024,Viksäng,Västerås kommun,Other
Knotavägen 23,71.0,2,4 590 ,630000,8873,10 sep. 2024,Bjurhovda,Västerås kommun,Other
Stentorpsgatan 15C,59.0,2,4 229 ,1025000,17373,10 sep. 2024,Malmaberg,Västerås kommun,Other
Linnégatan 10,30.0,1,1 862 ,980000,32667,9 sep. 2024,Centrum,Västerås kommun,Other
Jakobsbergsgatan 43B,84.0,3,4 227 ,2550000,30357,9 sep. 2024,Jakobsberg,Västerås kommun,Other
JAKOBSGATAN 44C,60.0,2,4 119 ,1015000,16917,9 sep. 2024,Jakobsberg,Västerås kommun,Other
Rekylgatan 4,65.0,3,4 686 ,1500000,23077,9 sep. 2024,Haga,Västerås kommun,Other
Linnégatan 14,98.0,4,6 063 ,2640000,26939,9 sep. 2024,Centrum,Västerås kommun,Other
Skjutbanegatan 9 A,55.0,2,3 232 ,1110000,20182,9 sep. 2024,Haga,Västerås kommun,Other
Nanna Svartz Gata 5,123.0,4,6 100 ,6650000,54065,8 sep. 2024,Stallhagen,Västerås kommun,Other
SKJUTBANEGATAN 13B,79.0,3,3 918 ,1130000,14304,6 sep. 2024,Haga,Västerås kommun,Other
GUNNILBOGATAN 14E,78.0,3,5 389 ,1715000,21987,6 sep. 2024,Malmaberg,Västerås kommun,Other
Ringduvegatan 117,84.0,3,5 079 ,895000,10655,6 sep. 2024,Råby,Västerås kommun,Other
GENUAGATAN 2,97.0,4,6 319 ,3895000,40155,6 sep. 2024,Öster Mälarstrand,Västerås kommun,Other
ÖSTER MÄLARSTRANDS ALLÉ 150,74.0,2,3 735 ,3350000,45270,6 sep. 2024,Öster Mälarstrand,Västerås kommun,Other
Ringduvegatan 41,87.0,3,4 790 ,1200000,13793,6 sep. 2024,Råby,Västerås kommun,Other
Bandverksgatan 98,64.0,2,3 754 ,800000,12500,6 sep. 2024,Bäckby,Västerås kommun,Other
Ringduvegatan 21,63.0,2,3 705 ,730000,11587,6 sep. 2024,Råby,Västerås kommun,Other
Statorvägen 5,63.0,2,3 935 ,1450000,23016,5 sep. 2024,Aseastan,Västerås kommun,Other
Blomstergatan 8,58.0,2,4 214 ,1050000,18103,5 sep. 2024,Gideonsberg,Västerås kommun,Other
Morkullegatan 20,90.0,3,5 603 ,710000,7889,5 sep. 2024,Råby,Västerås kommun,Other
Stora gatan 2E,100.0,4,5 826 ,2850000,28500,5 sep. 2024,Västerås,Västerås kommun,Other
Härnevigatan 15B,53.0,2,3 015 ,995000,18774,5 sep. 2024,Skiljebo,Västerås kommun,Other
ÖSTER MÄLARSTRANDS ALLÉ 140,82.0,3,4 846 ,3515000,42866,5 sep. 2024,Öster Mälarstrand,Västerås kommun,Other
Kakelgatan 1,51.0,2,3 451 ,1985000,38922,5 sep. 2024,Västerås,Västerås kommun,Other
Flisavägen 24,39.0,1,2 841 ,420000,10769,4 sep. 2024,Bjurhovda,Västerås kommun,Other
Hagagränd 11,45.0,1,3 128 ,850000,18889,4 sep. 2024,Haga,Västerås kommun,Other
Kumlagatan 3,31.0,1,2 419 ,745000,24032,4 sep. 2024,Malmaberg,Västerås kommun,Other
Ringduvegatan 11,87.0,3,5 837 ,720000,8276,4 sep. 2024,Råby,Västerås kommun,Other
Regementsgatan 24,62.0,2,2 272 ,1200000,19355,4 sep. 2024,Viksäng,Västerås kommun,Other
Stadsträdgårdsgatan 12,109.0,5,5 373 ,4850000,44495,4 sep. 2024,Stadsträdgården / Framnäs,Västerås kommun,Other
Knutsgatan 10A,103.0,4,6 160 ,3150000,30583,3 sep. 2024,Centralt,Västerås kommun,Other
Stentorpsgatan 22B,26.0,1,2 048 ,390000,15000,3 sep. 2024,Malmaberg,Västerås kommun,Other
Snevringevägen 70B,54.0,2,3 991 ,540000,10000,9 sep. 2024,Hallstahammar,Hallstahammars kommun,Other
Snevringevägen 60,79.0,3,5 930 ,550000,6962,5 sep. 2024,Hallstahammar,Hallstahammars kommun,Other
Nibblegatan 13,72.0,2,5 533 ,675000,9375,29 aug. 2024,Hallstahammar,Hallstahammars kommun,Other
Västtunagatan 42A,58.0,2,3 649 ,375000,6466,29 aug. 2024,Hallstahammar,Hallstahammars kommun,Other
Snevringevägen 62,97.0,4,7 542 ,600000,6186,26 aug. 2024,Lövboås,Hallstahammars kommun,Other
Snevringevägen 64,59.0,2,4 686 ,475000,8051,25 aug. 2024,Hallstahammar,Hallstahammars kommun,Other
Snevringevägen 68,76.0,3,6 015 ,450000,5921,21 aug. 2024,Hallstahammar,Hallstahammars kommun,Other
Västtunagatan 42a,39.0,1,2 651 ,385000,9872,15 aug. 2024,Hallstahammar,Hallstahammars kommun,Other
Norra Kapellgatan 18A,62.0,2,4 439 ,540000,8710,12 aug. 2024,Hallstahammar,Hallstahammars kommun,Other
Långgatan 4A,38.0,1,4 076 ,295000,7763,8 aug. 2024,Barnängen,Hallstahammars kommun,Other
Norra Kapellg 10c,55.0,2,3 506 ,395000,7182,20 jul. 2024,Hallstahammar,Hallstahammars kommun,Other
Västtunagatan 44B,24.0,1,2 134 ,200000,8333,15 jul. 2024,Hallstahammar,Hallstahammars kommun,Other
ELDSBODAVÄGEN 19A,55.0,2,2 800 ,650000,11818,11 jul. 2024,Hallstahammar,Hallstahammars kommun,Other
Lövboåsvägen 6,62.0,2,4 407 ,590000,9516,5 jul. 2024,Lövboås,Hallstahammars kommun,Other
Östtunagatan 5,70.0,3,5 450 ,505000,7214,21 jun. 2024,Hallstahammar,Hallstahammars kommun,Other
Östtunagatan 7,54.0,2,4 264 ,460000,8519,18 jun. 2024,Hallstahammar,Hallstahammars kommun,Other
Skomakarevägen 2a,54.0,2,2 422 ,875000,16204,18 jun. 2024,Kolbäck,Hallstahammars kommun,Other
Västtunagatan 42B,39.0,1,2 651 ,350000,8974,13 jun. 2024,Hallstahammar,Hallstahammars kommun,Other
Surbrunnsvägen 5C,39.0,1,2 153 ,440000,11282,24 maj. 2024,Hallstahammar,Hallstahammars kommun,Other
Gjuterivägen 3A,122.0,5,6 500 ,1450000,11885,23 maj. 2024,Kolbäck,Hallstahammars kommun,Other
Åshammarvägen 9A,63.0,3,4 102 ,250000,3968,6 sep. 2024,Ramnäs,Surahammars kommun,Other
Kapellgatan 1B,56.0,2,3 770 ,420000,7500,4 sep. 2024,Surahammar,Surahammars kommun,Other
Dammvägen 4A,60.0,2,3 586 ,210000,3500,23 jul. 2024,Ramnäs,Surahammars kommun,Other
Kapellgatan 1A,56.0,2,3 770 ,395000,7054,18 jul. 2024,Surahammar,Surahammars kommun,Other
Timmervägen 1,59.0,2,3 987 ,395000,6695,18 jul. 2024,Surahammar,Surahammars kommun,Other
Norrgårdsgränd 4,81.0,3,3 929 ,400000,4938,16 jul. 2024,Virsbo,Surahammars kommun,Other
Borevägen 15B,58.0,2,3 800 ,290000,5000,12 jul. 2024,Surahammar,Surahammars kommun,Other
Källbergsvägen 36,26.0,1,2 324 ,240000,9231,9 jul. 2024,Surahammar,Surahammars kommun,Other
Åshammarvägen 58 C,54.0,2,3 459 ,155000,2870,25 jun. 2024,Ramnäs,Surahammars kommun,Other
Kapellgatan 5B,56.0,2,3 630 ,380000,6786,4 jun. 2024,Centralt,Surahammars kommun,Other
KAPELLGATAN 5C,56.0,2,3 630 ,290000,5179,23 maj. 2024,Surahammar,Surahammars kommun,Other
Borevägen 15 A,58.0,2,3 800 ,430000,7414,20 maj. 2024,Surahammar,Surahammars kommun,Other
Östergatan 88A,56.0,2,4 353 ,450000,8036,29 apr. 2024,Surahammar,Surahammars kommun,Other
Åshammarvägen 56B,70.0,4,4 426 ,285000,4071,17 apr. 2024,Ramnäs,Surahammars kommun,Other
Kapellgatan 1B,56.0,2,3 770 ,245000,4375,12 apr. 2024,Surahammar,Surahammars kommun,Other
Hjulmakarvägen 40C,57.0,2,3 861 ,400000,7018,12 apr. 2024,Surahammar,Surahammars kommun,Other
Torsgatan 21B,53.0,2,3 728 ,575000,10849,4 sep. 2024,Nyckelberget,Köpings kommun,Other
Ringvägen 51E,65.0,3,4 652 ,925000,14231,2 sep. 2024,Johannisdal,Köpings kommun,Other
Violgatan 8B,72.0,3,4 355 ,1650000,22917,30 aug. 2024,Ullvi Backar,Köpings kommun,Other
Östanåsgatan 15 Lgh 1202 ,70.0,3,4 412 ,975000,13929,27 aug. 2024,Östanås,Köpings kommun,Other
Bergslagsvägen 119 A,91.0,4,6 100 ,220000,2418,26 aug. 2024,Kolsva,Köpings kommun,Other
Hagavägen 34A,81.0,3,4 689 ,820000,10123,25 aug. 2024,Johannisdal,Köpings kommun,Other
Nyckelbergsvägen 52B,38.0,1,2 243 ,285000,7500,24 aug. 2024,Nyckelberget,Köpings kommun,Other
Torsgatan 21 a,54.0,2,3 714 ,500000,9259,23 aug. 2024,Nyckelberget,Köpings kommun,Other
Kihlmansgatan 34D,82.0,3,4 690 ,775000,9451,16 aug. 2024,Skogsbrynet,Köpings kommun,Other
Mariebergsgatan 26C,54.0,2,4 131 ,575000,10648,15 aug. 2024,Nyckelberget,Köpings kommun,Other
Stekelgatan 7,80.0,3,6 812 ,1600000,20000,15 aug. 2024,Ullvibackar,Köpings kommun,Fritidshus
Kihlmansgatan 28D,62.0,2,3 742 ,485000,7823,12 aug. 2024,Skogsbrynet,Köpings kommun,Other
Stora gatan 19,79.0,3,3 437 ,1055000,13354,11 aug. 2024,Centrum,Köpings kommun,Other
Sveavägen 6A,71.0,3,4 375 ,500000,7042,9 aug. 2024,Karlsdal,Köpings kommun,Other
Prästgärdsgatan 22A,56.0,3,3 475 ,295000,5268,9 aug. 2024,Centralt,Köpings kommun,Other
Viktoriagatan 6B,50.0,2,4 062 ,400000,8000,7 aug. 2024,Centrum,Köpings kommun,Other
Erlandsvägen 33C ,61.0,2,3 527 ,850000,13934,30 jul. 2024,Johannisdal,Köpings kommun,Other
Sankt Olovsgatan 58a,68.0,2,4 344 ,800000,11765,30 jul. 2024,Köping,Köpings kommun,Other
Hagavägen 8A,70.0,3,5 017 ,635000,9071,26 jul. 2024,Östanås,Köpings kommun,Other
Tallebovägen 1A,109.0,4,6 054 ,2005000,18394,25 jul. 2024,Arbmansberg,Köpings kommun,Other
Tallebovägen 7D,109.0,4,6 054 ,2150000,19725,23 jul. 2024,Arbmansberg,Köpings kommun,Other
Bergslagsvägen 14A,71.0,3,4 633 ,680000,9577,19 jul. 2024,Karlsdal,Köpings kommun,Other
Pungbovägen 26B,60.0,2,4 430 ,465000,7750,19 jul. 2024,Östanås,Köpings kommun,Other
Bergsgatan 20,58.0,2,4 062 ,950000,16379,9 sep. 2024,Enköping,Enköpings kommun,Other
Östra Ringgatan 26,40.0,1,3 134 ,1050000,26250,9 sep. 2024,Centrum,Enköpings kommun,Other
Bergsgatan 4,58.0,2,4 126 ,1275000,21983,6 sep. 2024,S:t Ilian,Enköpings kommun,Other
Slåttervägen 2,55.0,2,4 203 ,1495000,27182,6 sep. 2024,Åkersberg,Enköpings kommun,Other
Kammakartorget 5,33.0,1,3 511 ,950000,28788,5 sep. 2024,Centrum,Enköpings kommun,Other
Hejaregatan 2,68.0,3,4 233 ,1650000,24265,5 sep. 2024,Enköping,Enköpings kommun,Other
Sandgatan 27,110.0,5,6 983 ,2600000,23636,3 sep. 2024,Centrum,Enköpings kommun,Other
Kungsgatan 11,57.0,2,3 199 ,1625000,28509,30 aug. 2024,Centrum,Enköpings kommun,Other
Kattugglegränd 1,74.0,2,4 514 ,730000,9865,29 aug. 2024,Lillsidan,Enköpings kommun,Other
Tullgatan 7B,73.0,3,3 668 ,2400000,32877,28 aug. 2024,Centrum,Enköpings kommun,Other
Hejaregatan 5,60.0,2,4 105 ,1250000,20833,27 aug. 2024,Fanna,Enköpings kommun,Other
Odlingsvägen 52,130.0,5,6 424 ,1625000,12500,27 aug. 2024,Lillkyrka,Enköpings kommun,Fritidshus
Eriksgatan 36,92.0,4,3 389 ,2300000,25000,27 aug. 2024,Centrum,Enköpings kommun,Other
Bergsgatan 10,70.0,3,5 153 ,1430000,20429,27 aug. 2024,Enköping,Enköpings kommun,Other
Kungsgatan 38,80.0,3,5 390 ,1850000,23125,23 aug. 2024,Centrum,Enköpings kommun,Other
Rombergsgatan 14,70.0,3,3 796 ,1300000,18571,22 aug. 2024,Romberga,Enköpings kommun,Other
Sankt Olofsgatan 4A,58.0,2,3 199 ,1535000,26466,22 aug. 2024,Sankt Ilian,Enköpings kommun,Other
Idrottsallén 2,42.0,2,2 855 ,1400000,33333,21 aug. 2024,Munksundet,Enköpings kommun,Other
Kryddgårdsgatan 23,45.0,2,3 608 ,1150000,25556,21 aug. 2024,Centrum,Enköpings kommun,Other
Tallbacksvägen 20,38.0,1,2 596 ,670000,17632,21 aug. 2024,Fanna,Enköpings kommun,Other
Fregattvägen 5A,96.0,4,5 400 ,2965000,30885,19 aug. 2024,Bredsand,Enköpings kommun,Fritidshus
Lilla vägen 5,115.0,4,7 074 ,2650000,23043,18 aug. 2024,Centrum,Enköpings kommun,Other
Fannagatan 28,71.0,2,5 699 ,1275000,17958,17 aug. 2024,Fanna,Enköpings kommun,Other
Pärlugglegränd 5,100.0,4,6 667 ,1075000,10750,16 aug. 2024,Lillsidan,Enköpings kommun,Other
Odlingsvägen 58,130.0,5,6 352 ,1470000,11308,16 aug. 2024,Lillkyrka,Enköpings kommun,Fritidshus
Magasinsgatan 25,76.0,3,4 513 ,1100000,14474,4 jul. 2024,Kungsör,Kungsörs kommun,Fritidshus
Magasinsgatan 40,104.0,4,5 602 ,1500000,14423,26 jun. 2024,Kungsör,Kungsörs kommun,Other
Skolgatan 10B,76.0,3,4 116 ,1300000,17105,15 jun. 2024,Valskog,Kungsörs kommun,Fritidshus
Magasinsgatan 50,104.0,4,5 602 ,900000,8654,30 maj. 2024,Centralt,Kungsörs kommun,Other
Torsgatan 3 B,39.0,1,2 096 ,400000,10256,10 apr. 2024,Centralt I Kungsör,Kungsörs kommun,Other
Magasinsgatan 11,76.0,3,4 513 ,790000,10395,10 mar. 2024,Kungsör,Kungsörs kommun,Fritidshus
Mästaregatan 18A,56.0,2,3 012 ,795000,14196,3 mar. 2024,Kungsör,Kungsörs kommun,Other
